feature_idx,variance,n_unique,pct_nan,pct_zero
12,1.0000000000000007,3,0.0,0.0
10,1.0000000000000004,82,0.0,0.0
3,1.0000000000000002,4,0.0,0.0
20,1.0000000000000002,86,0.0,0.0
11,1.0000000000000002,35,0.0,0.0
31,1.0000000000000002,75,0.0,0.0
23,1.0000000000000002,101,0.0,0.0
25,1.0000000000000002,60,0.0,0.0
18,1.0000000000000002,509,0.0,0.0
19,1.0000000000000002,89,0.0,0.0
35,1.0000000000000002,101,0.0,0.0
33,1.0000000000000002,100,0.0,0.0
16,1.0000000000000002,2,0.0,0.0
30,1.0000000000000002,101,0.0,0.0
26,1.0,256,0.0,0.0
28,1.0,101,0.0,0.0
24,1.0,95,0.0,0.0
1,1.0,2,0.0,0.0
22,1.0,62,0.0,0.0
21,1.0,82,0.0,0.0
9,1.0,3,0.0,0.0
5,1.0,6,0.0,0.0
17,0.9999999999999999,512,0.0,0.0
27,0.9999999999999998,256,0.0,0.0
29,0.9999999999999998,101,0.0,0.0
34,0.9999999999999998,101,0.0,0.0
15,0.9999999999999998,2,0.0,0.0
0,0.9999999999999998,9326,0.0,0.0
13,0.9999999999999998,10,0.0,0.0
4,0.9999999999999998,28,0.0,0.0
6,0.9999999999999997,2,0.0,0.0
7,0.9999999999999996,88,0.0,0.0
32,0.9999999999999996,101,0.0,0.0
2,0.9999999999999993,3,0.0,0.0
8,0.9999999999999991,2,0.0,0.0
115,0.24098847126971046,2,0.0,0.4050709278972478
117,0.23835414082980838,2,0.0,0.607915981996142
60,0.21767608587820916,2,0.0,0.6797885261127384
111,0.2001167971026922,2,0.0,0.7233454787930748
85,0.14338056291418733,2,0.0,0.8265263191318775
107,0.08121863015565617,2,0.0,0.9108300985131734
48,0.06663210545923025,2,0.0,0.9282147761821977
90,0.05468207337893921,2,0.0,0.9419478777198289
56,0.05149064530196234,2,0.0,0.9455438863883531
50,0.03507932956573027,2,0.0,0.9635953736118057
80,0.03340530935830206,2,0.0,0.9653973470505585
123,0.028441443490028577,2,0.0,0.9707000706500599
51,0.023829245957292338,2,0.0,0.9755741309645718
118,0.01893301325396909,2,0.0,0.9806942757575036
110,0.01884905689355892,2,0.0,0.9807815960562978
96,0.018329715420846618,2,0.0,0.9813213942670255
158,0.018184501139408615,2,0.0,0.98147222023767
159,0.016307925373882984,2,0.0,0.9834170814380859
1122,0.01563204340057558,2,0.0,0.9841156438284394
54,0.013830063723321814,2,0.0,0.9859731847300612
55,0.013729751399567511,2,0.0,0.986076381446818
108,0.012245735264272932,2,0.0,0.9876005175712256
160,0.010166527566273767,2,0.0,0.9897279575782112
157,0.010088770007332869,2,0.0,0.9898073396680241
219,0.007859569210083111,2,0.0,0.9920776674366729
40,0.007523518174163026,2,0.0,0.9924190104228684
261,0.00746879013626475,2,0.0,0.9924745778857375
3339,0.007069870889871431,2,0.0,0.9928794265437831
142,0.00705422031824885,2,0.0,0.9928953029617458
38,0.006795913103964393,2,0.0,0.9931572638581283
102,0.006153464580948168,2,0.0,0.9938081969945941
156,0.006028009963805397,2,0.0,0.9939352083382947
42,0.005792695595739378,2,0.0,0.9941733546077334
144,0.005612211098073153,2,0.0,0.9943559334143031
41,0.005604362433636827,2,0.0,0.9943638716232843
105,0.005470915855579723,2,0.0,0.9944988211759663
103,0.005439511367469166,2,0.0,0.9945305740118915
65,0.005423808367231942,2,0.0,0.994546450429854
260,0.00540810486287343,2,0.0,0.9945623268478166
99,0.005164636080805879,2,0.0,0.9948084113262365
64,0.005109642497015642,2,0.0,0.9948639787891056
625,0.005109642497015642,2,0.0,0.9948639787891056
77,0.004976060940481896,2,0.0,0.9949989283417875
104,0.004873885762513568,2,0.0,0.9951021250585443
101,0.004755964860028295,2,0.0,0.9952211981932636
47,0.004496439058544359,2,0.0,0.9954831590896462
44,0.004449237803635775,2,0.0,0.9955307883435339
448,0.004425635474772112,2,0.0,0.9955546029704778
133,0.004386295739392872,2,0.0,0.9955942940153842
43,0.004307606816360112,2,0.0,0.9956736761051972
94,0.004299737230890056,2,0.0,0.9956816143141785
46,0.004252517071432923,2,0.0,0.9957292435680661
62,0.004189549801125287,2,0.0,0.9957927492399165
45,0.004118701980709435,2,0.0,0.9958641931207481
57,0.004095083772024992,2,0.0,0.9958880077476919
52,0.0038352086144838667,2,0.0,0.9961499686440746
95,0.0037721879073189996,2,0.0,0.9962134743159249
69,0.003756431470224545,2,0.0,0.9962293507338874
53,0.003748553062631831,2,0.0,0.9962372889428687
59,0.003638242123149873,2,0.0,0.9963484238686068
329,0.003614600850916202,2,0.0,0.9963722384955507
72,0.003567314903630116,2,0.0,0.9964198677494384
71,0.0034727293977829927,2,0.0,0.9965151262572138
49,0.003433313414057935,2,0.0,0.9965548173021203
66,0.003425429839221953,2,0.0,0.9965627555111016
70,0.0033938942795747875,2,0.0,0.9965945083470268
68,0.0032440728336250247,2,0.0,0.9967453343176712
73,0.0032046385755030355,2,0.0,0.9967850253625777
321,0.00315731330675597,2,0.0,0.9968326546164654
338,0.0030705385302177497,2,0.0,0.9969199749152596
93,0.0030153102779648566,2,0.0,0.9969755423781287
330,0.002920618906645857,2,0.0,0.9970708008859042
335,0.002896943228133826,2,0.0,0.997094615512848
112,0.002889051083235834,2,0.0,0.9971025537218293
336,0.0028811588123075177,2,0.0,0.9971104919308106
75,0.002865373892359917,2,0.0,0.9971263683487731
621,0.002865373892359917,2,0.0,0.9971263683487731
76,0.0028495884682910224,2,0.0,0.9971422447667357
328,0.0028495884682910224,2,0.0,0.9971422447667357
323,0.0028259093869602496,2,0.0,0.9971660593936796
331,0.002762759624743953,2,0.0,0.99722956506553
74,0.0027469709238866417,2,0.0,0.9972454414834925
346,0.0026996017965869408,2,0.0,0.9972930707373803
332,0.0026996017965869408,2,0.0,0.9972930707373803
349,0.002660124058003288,2,0.0,0.9973327617822867
344,0.0026285395985905413,2,0.0,0.9973645146182119
343,0.002604849930712584,2,0.0,0.9973883292451557
333,0.002581159128561712,2,0.0,0.9974121438720995
347,0.0025732619424507727,2,0.0,0.9974200820810809
259,0.002565364630309511,2,0.0,0.9974280202900622
339,0.0025416719377037863,2,0.0,0.9974518349170061
327,0.0025416719377037863,2,0.0,0.9974518349170061
322,0.0025258761791483496,2,0.0,0.9974677113349686
359,0.0025258761791483496,2,0.0,0.9974677113349686
326,0.0025179781108251448,2,0.0,0.9974756495439498
340,0.0024942831496735933,2,0.0,0.9974994641708937
348,0.0024942831496735933,2,0.0,0.9974994641708937
325,0.0024784858787542737,2,0.0,0.9975153405888564
334,0.0024705870542491284,2,0.0,0.9975232787978376
92,0.002462688103713659,2,0.0,0.9975312170068189
324,0.0024547890271478657,2,0.0,0.9975391552158002
337,0.0024152917538640467,2,0.0,0.9975788462607067
306,0.002407391921116312,2,0.0,0.997586784469688
350,0.002391591877529871,2,0.0,0.9976026608876505
341,0.002383691666691165,2,0.0,0.9976105990966319
67,0.0023678908669227832,2,0.0,0.9976264755145944
78,0.002344188722042781,2,0.0,0.9976502901415383
345,0.0023283866619711623,2,0.0,0.9976661665595008
420,0.0023125840977782485,2,0.0,0.9976820429774634
419,0.0023046826266363064,2,0.0,0.9976899811864447
351,0.0022730754817652994,2,0.0,0.9977217340223699
320,0.0022414663204091156,2,0.0,0.997753486858295
319,0.0021861454358683306,2,0.0,0.9978090543211641
342,0.0021624345948959975,2,0.0,0.997832868948108
116,0.0021466267374294903,2,0.0,0.9978487453660705
423,0.0020912952663415174,2,0.0,0.9979043128289395
83,0.0020912952663415174,2,0.0,0.9979043128289395
411,0.002075485140329185,2,0.0,0.9979201892469021
318,0.0020675798882775318,2,0.0,0.9979281274558834
127,0.002043863375940634,2,0.0,0.9979519420828272
407,0.002004333334772662,2,0.0,0.9979916331277338
421,0.0019964269484480986,2,0.0,0.997999571336715
352,0.001996426948448098,2,0.0,0.997999571336715
409,0.0019885204360932086,2,0.0,0.9980075095456963
422,0.001980613797707995,2,0.0,0.9980154477546775
430,0.001980613797707995,2,0.0,0.9980154477546775
408,0.0019648001428466,2,0.0,0.9980313241726402
314,0.0019648001428466,2,0.0,0.9980313241726402
91,0.0019410787153270794,2,0.0,0.9980551387995841
355,0.0019331713207599254,2,0.0,0.9980630770085653
317,0.0019331713207599247,2,0.0,0.9980630770085653
315,0.0019252638001624463,2,0.0,0.9980710152175466
417,0.001909448380876519,2,0.0,0.9980868916355092
413,0.0018778160299407808,2,0.0,0.9981186444714344
353,0.0018699076271310369,2,0.0,0.9981265826804157
410,0.0018619990982909691,2,0.0,0.9981345208893969
358,0.0018619990982909691,2,0.0,0.9981345208893969
497,0.001846181662519864,2,0.0,0.9981503973073595
431,0.0018303637226274633,2,0.0,0.9981662737253221
192,0.001822454563635777,2,0.0,0.9981742119343033
416,0.001822454563635777,2,0.0,0.9981742119343033
439,0.0018145452786137686,2,0.0,0.9981821501432847
418,0.0018066358675614342,2,0.0,0.998190088352266
360,0.0017987263304787774,2,0.0,0.9981980265612472
354,0.0017987263304787774,2,0.0,0.9981980265612472
414,0.0017908166673657982,2,0.0,0.9982059647702285
356,0.0017670869218449153,2,0.0,0.9982297793971724
433,0.0017591767546106393,2,0.0,0.9982377176061537
412,0.0017591767546106393,2,0.0,0.9982377176061537
428,0.0017512664613460404,2,0.0,0.998245655815135
357,0.0017433560420511186,2,0.0,0.9982535940241163
424,0.001735445496725873,2,0.0,0.9982615322330975
426,0.0017196240279844094,2,0.0,0.9982774086510602
162,0.001711713104568193,2,0.0,0.9982853468600414
415,0.0017117131045681928,2,0.0,0.9982853468600414
436,0.0016800681506000884,2,0.0,0.9983170996959666
437,0.0016721565970322537,2,0.0,0.9983250379049479
403,0.0016721565970322537,2,0.0,0.9983250379049479
406,0.0016721565970322537,2,0.0,0.9983250379049479
435,0.0016642449174340945,2,0.0,0.9983329761139291
3425,0.0016642449174340942,2,0.0,0.9983329761139291
405,0.0016484211801468045,2,0.0,0.9983488525318918
438,0.001632596938738221,2,0.0,0.9983647289498543
313,0.0016167721932083437,2,0.0,0.9983806053678169
316,0.0016167721932083437,2,0.0,0.9983806053678169
401,0.0016088596313979194,2,0.0,0.9983885435767982
427,0.001600946943557171,2,0.0,0.9983964817857794
400,0.001600946943557171,2,0.0,0.9983964817857794
1569,0.0015851211897847032,2,0.0,0.9984123582037421
124,0.0015772081238529842,2,0.0,0.9984202964127233
434,0.0015455545998228708,2,0.0,0.9984520492486485
125,0.0015455545998228708,2,0.0,0.9984520492486485
402,0.0015455545998228706,2,0.0,0.9984520492486485
429,0.0015138990593075777,2,0.0,0.9984838020845737
441,0.00149807053286799,2,0.0,0.9984996785025363
425,0.0014901560806027114,2,0.0,0.9985076167115176
36,0.0014822415023071076,2,0.0,0.9985155549204988
147,0.0014664119676249308,2,0.0,0.9985314313384615
432,0.0014505819288214582,2,0.0,0.998547307756424
312,0.0014347513858966917,2,0.0,0.9985631841743866
445,0.001426835925388823,2,0.0,0.9985711223833679
363,0.0014189203388506313,2,0.0,0.9985790605923491
399,0.001411004626282114,2,0.0,0.9985869988013304
361,0.0013951728230541115,2,0.0,0.998602875219293
173,0.0013872567323946249,2,0.0,0.9986108134282743
365,0.0013793405157048132,2,0.0,0.9986187516372556
404,0.0013555911094534389,2,0.0,0.9986425662641994
366,0.0013555911094534389,2,0.0,0.9986425662641994
295,0.0013397575418009054,2,0.0,0.9986584426821621
444,0.0013397575418009054,2,0.0,0.9986584426821621
446,0.0013397575418009054,2,0.0,0.9986584426821621
79,0.0013318405689291526,2,0.0,0.9986663808911433
440,0.0013160062450946752,2,0.0,0.9986822573091059
731,0.0013160062450946752,2,0.0,0.9986822573091059
398,0.0013001714171389047,2,0.0,0.9986981337270685
311,0.0012605821417188126,2,0.0,0.9987378247719749
390,0.0012447455493385105,2,0.0,0.9987537011899376
310,0.0012368270641028736,2,0.0,0.9987616393989188
362,0.0012289084528369135,2,0.0,0.9987695776079001
296,0.0012289084528369135,2,0.0,0.9987695776079001
443,0.0012130708522140217,2,0.0,0.9987854540258627
447,0.0012130708522140217,2,0.0,0.9987854540258627
452,0.0012051518628570907,2,0.0,0.998793392234844
373,0.001197232747469836,2,0.0,0.9988013304438252
397,0.0011972327474698357,2,0.0,0.9988013304438252
838,0.001181394138604355,2,0.0,0.9988172068617879
442,0.001181394138604355,2,0.0,0.9988172068617879
307,0.0011734746451261295,2,0.0,0.9988251450707691
121,0.00116555502561758,2,0.0,0.9988330832797504
395,0.0011576352800787063,2,0.0,0.9988410214887317
450,0.001149715408509509,2,0.0,0.998848959697713
660,0.0011417954109099885,2,0.0,0.9988568979066943
149,0.0011417954109099885,2,0.0,0.9988568979066943
367,0.0011259550376199762,2,0.0,0.9988727743246568
150,0.0011180346619294845,2,0.0,0.9988807125336382
396,0.0011101141602086694,2,0.0,0.9988886507426195
368,0.0011021935324575308,2,0.0,0.9988965889516007
372,0.0010863518988642813,2,0.0,0.9989124653695634
453,0.0010863518988642813,2,0.0,0.9989124653695634
394,0.0010705097611497386,2,0.0,0.9989283417875259
369,0.0010705097611497386,2,0.0,0.9989283417875259
449,0.0010625885032469811,2,0.0,0.9989362799965071
309,0.0010625885032469811,2,0.0,0.9989362799965071
393,0.001046745609350496,2,0.0,0.9989521564144698
308,0.001046745609350496,2,0.0,0.9989521564144698
374,0.0010150583091936408,2,0.0,0.9989839092503949
